,title,type,link
60,A Good Man Is Hard to Find / That's Got 'Em,Single,https://rateyourmusic.com/release/single/wilbur-sweatmans-original-jazz-band/a-good-man-is-hard-to-find-thats-got-em/
61,Hindustan / Kisses,Single,https://rateyourmusic.com/release/single/joseph-samuels-orchestra/hindustan-kisses/
62,The Alcoholic Blues / Lassus Trombone,Single,https://rateyourmusic.com/release/single/synco-jazz-band/the-alcoholic-blues-lassus-trombone/
63,Fidgety Feet / Lazy Daddy,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/fidgety-feet-lazy-daddy/
64,The Dancing Deacon / Clarinet Marmalade,Single,https://rateyourmusic.com/release/single/lieut-jim-europes-369th-u_s-inf-hell-fighters-band/the-dancing-deacon-clarinet-marmalade/
65,I'll Say She Does / Lucille,Single,https://rateyourmusic.com/release/single/wilbur-sweatmans-original-jazz-band/ill-say-she-does-lucille/
66,Foot Warmer / B-Hap-E,Single,https://rateyourmusic.com/release/single/louisiana-five/foot-warmer-b-hap-e/
67,Satanic Blues / Lasses Candy,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/satanic-blues-lasses-candy/
68,Kansas City Blues / The Alcoholic Blues,Single,https://rateyourmusic.com/release/single/wilbur-sweatmans-original-jazz-band-louisiana-five/kansas-city-blues-the-alcoholic-blues/
69,"Slide, Kelly, Slide / I Ain't'en Got'en No Time to Have the Blues",Single,https://rateyourmusic.com/release/single/wilbur-sweatmans-original-jazz-band-louisiana-five-jazz-orchestra/slide-kelly-slide-i-ainten-goten-no-time-to-have-the-blues/
70,Blues (My Naughty Sweetie Gave Me) / India (Oriental Intermezzo),Single,https://rateyourmusic.com/release/single/ted-lewis-jazz-band-yerkes-novelty-five/blues-my-naughty-sweetie-gave-me-india-oriental-intermezzo/
71,Hunkatin / Old Joe Blues,Single,https://rateyourmusic.com/release/single/synco-jazz-band/hunkatin-old-joe-blues/
72,Western Land,Single,https://rateyourmusic.com/release/single/all-star-trio/western-land/
73,Clarinet Squawk,Single,https://rateyourmusic.com/release/single/louisiana-five/clarinet-squawk/
74,Yelping Hound Blues / High Brown Babies Ball,Single,https://rateyourmusic.com/release/single/louisiana-five/yelping-hound-blues-high-brown-babies-ball/
75,I Left My Door Open and My Daddy Walked Out / Yellow Dog Blues,Single,https://rateyourmusic.com/release/single/paul-biese-and-his-novelty-orchestra/i-left-my-door-open-and-my-daddy-walked-out-yellow-dog-blues/
76,Afghanistan / Hold Me,Single,https://rateyourmusic.com/release/single/all_star_trio/afghanistan___hold_me/
77,I Want a Daddy Who Will Rock Me to Sleep - Medley / All the Quakers Are Shoulder Shakers - Medley,Single,https://rateyourmusic.com/release/single/all-star-trio/i-want-a-daddy-who-will-rock-me-to-sleep-medley-all-the-quakers-are-shoulder-shakers-medley/
78,Dardanella / My Isle of Golden Dreams,Single,https://rateyourmusic.com/release/single/selvins-novelty-orchestra/dardanella-my-isle-of-golden-dreams/
79,Mystery! - Medley / Oh! - Medley,Single,https://rateyourmusic.com/release/single/paul-biese-and-his-novelty-orchestra/mystery-medley-oh-medley/
80,Blues (My Naughty Sweetie Gives to Me) / Tiger Rag,Single,https://rateyourmusic.com/release/single/whiteway-jazz-band/blues-my-naughty-sweetie-gives-to-me-tiger-rag/
81,Dardanella / Blues My Naughty Sweetie Taught to Me,Single,https://rateyourmusic.com/release/single/bal-taberin-jazz-orchestra/dardanella-blues-my-naughty-sweetie-taught-to-me/
82,Japanese Sandman / Koolemoff,Single,https://rateyourmusic.com/release/single/isham-jones/japanese-sandman-koolemoff/
83,Tell Me / Mammy o' Mine,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/tell-me-mammy-o-mine/
84,Soudan / Me-ow,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band-london-dance-orchestra/soudan-me-ow/
85,Nobody Knows / Wonderful Pal,Single,https://rateyourmusic.com/release/single/hickman-trio/nobody-knows-wonderful-pal/
86,Wond'ring / You Can't Get Lovin' Where There Ain't Any Love,Single,https://rateyourmusic.com/release/single/ted-lewis-louisiana-five/wondring-you-cant-get-lovin-where-there-aint-any-love/
87,Fair One / Gypsy Moon,Single,https://rateyourmusic.com/release/single/ted-lewis-jazz-band/fair-one-gypsy-moon/
88,Avalon / The Japanese Sandman,Single,https://rateyourmusic.com/release/single/art_hickmans_orchestra/avalon___the_japanese_sandman/
89,Fast Asleep in Poppy Land / Yellow Dog Blues,Single,https://rateyourmusic.com/release/single/paul_biese_and_his_novelty_orchestra/fast_asleep_in_poppy_land___yellow_dog_blues/
90,Weary Blues / Down Where the Rajahs Dwell,Single,https://rateyourmusic.com/release/single/louisiana-five/weary-blues-down-where-the-rajahs-dwell/
91,Swanee / Blues (My Naughty Sweetie Gives to Me),Single,https://rateyourmusic.com/release/single/green-brothers-xylophone-orchestra-harry-radermans-jazz-orchestra/swanee-blues-my-naughty-sweetie-gives-to-me/
92,I've Got My Captain Working for Me Now / I've Lost My Heart in Dixieland,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/ive-got-my-captain-working-for-me-now-ive-lost-my-heart-in-dixieland/
93,""" O "" (Oh!) / Barkin' Dog",Single,https://rateyourmusic.com/release/single/ted-lewis-ross-gorman/-o-oh-barkin-dog/
94,Just Like a Rose,Single,https://rateyourmusic.com/release/single/all-star-trio/just-like-a-rose/
95,Alexandria / Make That Trombone Laugh,Single,https://rateyourmusic.com/release/single/harry_radermans_jazz_orchestra/alexandria___make_that_trombone_laugh/
96,My Baby's Arms / I'm Forever Blowing Bubbles,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/my-babys-arms-im-forever-blowing-bubbles/
