,Unnamed: 0,title,link,0
90,90,Point of Departure,https://rateyourmusic.com/release/album/andrew-hill/point-of-departure/,4.0
91,91,Basra,https://rateyourmusic.com/release/album/pete-la-roca/basra/,6.0
92,92,Naked City,https://rateyourmusic.com/release/album/john-zorn/naked-city/,26.0
93,93,Black Woman,https://rateyourmusic.com/release/album/sonny-sharrock/black-woman/,5.0
94,94,Bridges,https://rateyourmusic.com/release/album/gil-scott-heron-and-brian-jackson/bridges/,9.0
95,95,The Elements,https://rateyourmusic.com/release/album/joe-henderson-featuring-alice-coltrane/the-elements/,4.0
96,96,Miles Smiles,https://rateyourmusic.com/release/album/miles-davis-quintet/miles-smiles/,6.0
97,97,A Night in Tunisia,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/a-night-in-tunisia/,4.0
98,98,Milestones,https://rateyourmusic.com/release/album/miles-davis/milestones/,5.0
99,99,Compulsion,https://rateyourmusic.com/release/album/andrew-hill/compulsion/,4.0
100,100,Indestructible,https://rateyourmusic.com/release/album/art-blakey-and-the-jazz-messengers/indestructible/,4.0
101,101,Izipho Zam (My Gifts),https://rateyourmusic.com/release/album/pharoah-sanders/izipho-zam-my-gifts/,3.0
102,102,One Flight Up,https://rateyourmusic.com/release/album/dexter-gordon/one-flight-up/,3.0
103,103,Pithecanthropus erectus,https://rateyourmusic.com/release/album/the-charlie-mingus-jazz-workshop/pithecanthropus-erectus/,4.0
104,104,Conference of the Birds,https://rateyourmusic.com/release/album/david-holland-quartet/conference-of-the-birds/,6.0
105,105,Sonny Side Up,https://rateyourmusic.com/release/album/dizzy-gillespie-sonny-stitt-sonny-rollins/sonny-side-up/,3.0
106,106,The Afro-Eurasian Eclipse,https://rateyourmusic.com/release/album/duke-ellington/the-afro-eurasian-eclipse/,8.0
107,107,¡Jazz Flamenco!,https://rateyourmusic.com/release/album/pedro-iturralde/_jazz-flamenco/,4.0
108,108,Nefertiti,https://rateyourmusic.com/release/album/miles-davis/nefertiti/,6.0
109,109,'Round About Midnight,https://rateyourmusic.com/release/album/miles-davis/round-about-midnight/,6.0
110,110,The Awakening,https://rateyourmusic.com/release/album/the-ahmad-jamal-trio/the-awakening/,7.0
111,111,Spiritual Unity,https://rateyourmusic.com/release/album/albert-ayler-trio/spiritual-unity/,3.0
112,112,"Rip, Rig and Panic",https://rateyourmusic.com/release/album/the-roland-kirk-quartet/rip-rig-and-panic/,7.0
113,113,Destination Out!,https://rateyourmusic.com/release/album/jackie-mclean/destination-out/,4.0
114,114,The Colours of Chloë,https://rateyourmusic.com/release/album/eberhard-weber/the-colours-of-chloe/,4.0
115,115,The Inflated Tear,https://rateyourmusic.com/release/album/roland-kirk/the-inflated-tear/,9.0
116,116,Electronic Sonata for Souls Loved by Nature,https://rateyourmusic.com/release/album/george-russell/electronic-sonata-for-souls-loved-by-nature/,2.0
117,117,Eastern Sounds,https://rateyourmusic.com/release/album/yusef-lateef/eastern-sounds/,9.0
118,118,Big Fun,https://rateyourmusic.com/release/album/miles-davis/big-fun/,4.0
119,119,Purple Sun,https://rateyourmusic.com/release/album/tomasz-stanko-quintet/purple-sun/,4.0
120,120,Chet Baker Sings,https://rateyourmusic.com/release/album/chet-baker/chet-baker-sings/,7.0
121,121,Sama Layuca,https://rateyourmusic.com/release/album/mccoy-tyner/sama-layuca/,5.0
122,122,Mode for Joe,https://rateyourmusic.com/release/album/joe-henderson/mode-for-joe/,6.0
123,123,Mark Hollis,https://rateyourmusic.com/release/album/mark-hollis/mark-hollis/,8.0
124,124,Night Dreamer,https://rateyourmusic.com/release/album/wayne-shorter/night-dreamer/,5.0
125,125,Scenery,https://rateyourmusic.com/release/album/福居良/scenery/,5.0
126,126,Casiopea,https://rateyourmusic.com/release/album/casiopea/casiopea/,8.0
127,127,Tijuana Moods,https://rateyourmusic.com/release/album/charlie-mingus/tijuana-moods/,5.0
128,128,Interstellar Space,https://rateyourmusic.com/release/album/john-coltrane/interstellar-space/,4.0
129,129,The Gigolo,https://rateyourmusic.com/release/album/lee-morgan/the-gigolo/,5.0
130,130,Lee Morgan,https://rateyourmusic.com/release/album/lee-morgan/lee-morgan/,5.0
131,131,Intents and Purposes: The Jazz Artistry of Bill Dixon,https://rateyourmusic.com/release/album/the-bill-dixon-orchestra/intents-and-purposes-the-jazz-artistry-of-bill-dixon/,4.0
132,132,Inner Urge,https://rateyourmusic.com/release/album/joe-henderson/inner-urge/,5.0
133,133,Out There,https://rateyourmusic.com/release/album/eric-dolphy/out-there/,6.0
134,134,Pharoah,https://rateyourmusic.com/release/album/pharoah-sanders/pharoah/,3.0
135,135,Soul Station,https://rateyourmusic.com/release/album/hank-mobley/soul-station/,6.0
136,136,Black Fire,https://rateyourmusic.com/release/album/andrew-hill/black-fire/,6.0
137,137,Ellington Uptown,https://rateyourmusic.com/release/album/duke-ellington-and-his-orchestra/ellington-uptown/,5.0
138,138,Realization,https://rateyourmusic.com/release/album/eddie-henderson/realization/,7.0
139,139,In Europe,https://rateyourmusic.com/release/album/billy-harper-quintet/in-europe/,3.0
140,140,Prepare Thyself to Deal With a Miracle,https://rateyourmusic.com/release/album/rahsaan-roland-kirk/prepare-thyself-to-deal-with-a-miracle/,9.0
141,141,Ella Fitzgerald Sings the Irving Berlin Song Book,https://rateyourmusic.com/release/album/ella-fitzgerald/ella-fitzgerald-sings-the-irving-berlin-song-book/,30.0
142,142,Universal Consciousness,https://rateyourmusic.com/release/album/alice-coltrane/universal-consciousness/,6.0
143,143,Cool Struttin',https://rateyourmusic.com/release/album/sonny-clark/cool-struttin/,4.0
144,144,"Members, Don't Git Weary",https://rateyourmusic.com/release/album/max-roach/members-dont-git-weary/,6.0
145,145,Thembi,https://rateyourmusic.com/release/album/pharoah-sanders/thembi/,6.0
146,146,Straight Life,https://rateyourmusic.com/release/album/freddie-hubbard/straight-life-4/,3.0
147,147,The John Coltrane Quartet Plays,https://rateyourmusic.com/release/album/the-john-coltrane-quartet/the-john-coltrane-quartet-plays/,4.0
148,148,"Sonny Rollins, Vol. 2",https://rateyourmusic.com/release/album/sonny-rollins/sonny-rollins-vol-2/,6.0
149,149,Panthalassa: The Music of Miles Davis 1969-1974,https://rateyourmusic.com/release/album/miles-davis/panthalassa-the-music-of-miles-davis-1969-1974/,4.0
150,150,Birds of Fire,https://rateyourmusic.com/release/album/mahavishnu-orchestra/birds-of-fire/,10.0
151,151,Ella Fitzgerald Sings the Cole Porter Song Book,https://rateyourmusic.com/release/album/ella-fitzgerald/ella-fitzgerald-sings-the-cole-porter-song-book/,31.0
152,152,Moondog,https://rateyourmusic.com/release/album/moondog/moondog-3/,17.0
153,153,Duke Ellington & John Coltrane,https://rateyourmusic.com/release/album/duke-ellington-john-coltrane/duke-ellington-and-john-coltrane/,7.0
154,154,Workin' With the Miles Davis Quintet,https://rateyourmusic.com/release/album/the-miles-davis-quintet/workin-with-the-miles-davis-quintet/,8.0
155,155,Right Now!,https://rateyourmusic.com/release/album/jackie-mclean/right-now/,3.0
156,156,The Incredible Jazz Guitar of Wes Montgomery,https://rateyourmusic.com/release/album/wes-montgomery/the-incredible-jazz-guitar-of-wes-montgomery/,8.0
157,157,Underground,https://rateyourmusic.com/release/album/thelonious-monk/underground/,7.0
158,158,I Put a Spell on You,https://rateyourmusic.com/release/album/nina-simone/i-put-a-spell-on-you/,12.0
159,159,Coltrane,https://rateyourmusic.com/release/album/the-john-coltrane-quartette/coltrane/,5.0
160,160,Sunset Mission,https://rateyourmusic.com/release/album/bohren-and-der-club-of-gore/sunset-mission/,9.0
161,161,Ella and Louis,https://rateyourmusic.com/release/album/ella-fitzgerald-and-louis-armstrong/ella-and-louis/,11.0
162,162,I Trawl the MEGAHERTZ,https://rateyourmusic.com/release/album/paddy-mcaloon/i-trawl-the-megahertz/,9.0
163,163,Contours,https://rateyourmusic.com/release/album/sam_rivers/contours/,4.0
164,164,Conquistador!,https://rateyourmusic.com/release/album/cecil-taylor/conquistador/,2.0
165,165,Black Saint,https://rateyourmusic.com/release/album/billy-harper/black-saint/,3.0
166,166,No Room for Squares,https://rateyourmusic.com/release/album/hank-mobley/no-room-for-squares/,6.0
167,167,At Basin Street,https://rateyourmusic.com/release/album/clifford-brown-and-max-roach/at-basin-street/,7.0
168,168,The Epic,https://rateyourmusic.com/release/album/kamasi-washington/the-epic/,20.0
169,169,Red Clay,https://rateyourmusic.com/release/album/freddie-hubbard/red-clay-4/,4.0
170,170,Mwandishi,https://rateyourmusic.com/release/album/herbie-hancock/mwandishi/,3.0
171,171,Extensions,https://rateyourmusic.com/release/album/mccoy-tyner/extensions/,4.0
172,172,The Cape Verdean Blues,https://rateyourmusic.com/release/album/the-horace-silver-quintet-plus-j-j-johnson/the-cape-verdean-blues/,5.0
173,173,Filles de Kilimanjaro,https://rateyourmusic.com/release/album/miles-davis/filles-de-kilimanjaro/,5.0
174,174,The Survivors' Suite,https://rateyourmusic.com/release/album/keith-jarrett/the-survivors-suite/,2.0
175,175,Iron Man,https://rateyourmusic.com/release/album/eric-dolphy/iron-man/,4.0
176,176,The Cooker,https://rateyourmusic.com/release/album/lee-morgan/the-cooker/,5.0
177,177,Expansions,https://rateyourmusic.com/release/album/mccoy-tyner/expansions/,5.0
178,178,Silent Feet,https://rateyourmusic.com/release/album/eberhard-weber-colours/silent-feet/,3.0
179,179,The Cecil Taylor Unit,https://rateyourmusic.com/release/album/cecil-taylor/the-cecil-taylor-unit/,3.0
180,180,Lucifer: Book of Angels Volume 10,https://rateyourmusic.com/release/album/bar-kokhba/lucifer-book-of-angels-volume-10/,10.0
181,181,New Orleans Suite,https://rateyourmusic.com/release/album/duke-ellington/new-orleans-suite/,9.0
182,182,Everybody Digs Bill Evans,https://rateyourmusic.com/release/album/bill-evans-trio/everybody-digs-bill-evans/,10.0
183,183,Crystals,https://rateyourmusic.com/release/album/sam-rivers/crystals/,6.0
184,184,Let Freedom Ring,https://rateyourmusic.com/release/album/jackie-mclean/let-freedom-ring/,3.0
185,185,The Clown,https://rateyourmusic.com/release/album/charles-mingus/the-clown/,4.0
186,186,Troupeau Bleu,https://rateyourmusic.com/release/album/cortex/troupeau-bleu/,13.0
187,187,Oh Yeah,https://rateyourmusic.com/release/album/charles-mingus/oh-yeah-4/,7.0
188,188,Seychelles,https://rateyourmusic.com/release/album/高中正義/seychelles/,8.0
189,189,Return to Forever,https://rateyourmusic.com/release/album/chick-corea/return-to-forever/,4.0
190,190,Dialogue,https://rateyourmusic.com/release/album/bobby-hutcherson/dialogue/,4.0
191,191,On the Beach,https://rateyourmusic.com/release/album/philip-cohran-and-the-artistic-heritage-ensemble/on-the-beach/,4.0
192,192,One Step Beyond,https://rateyourmusic.com/release/album/jackie-mclean/one-step-beyond/,4.0
193,193,Em som maior,https://rateyourmusic.com/release/album/sambrasa-trio/em-som-maior/,11.0
194,194,Moa Anbessa,https://rateyourmusic.com/release/album/getatchew-mekuria-and-the-ex-and-guests/moa-anbessa/,11.0
195,195,Transition,https://rateyourmusic.com/release/album/john-coltrane/transition/,8.0
196,196,Coisas,https://rateyourmusic.com/release/album/moacir-santos/coisas/,10.0
197,197,Inédito,https://rateyourmusic.com/release/album/antonio-carlos-jobim/inedito/,23.0
198,198,Portrait in Jazz,https://rateyourmusic.com/release/album/bill-evans-trio/portrait-in-jazz/,9.0
199,199,Crossings,https://rateyourmusic.com/release/album/herbie-hancock/crossings/,3.0
200,200,Judgment,https://rateyourmusic.com/release/album/andrew-hill/judgment/,5.0
201,201,Symbiosis,https://rateyourmusic.com/release/album/bill-evans/symbiosis/,7.0
202,202,Wede Harer Guzo,https://rateyourmusic.com/release/album/hailu-mergia-and-dahlak-band/wede-harer-guzo/,10.0
203,203,Escalator Over the Hill,https://rateyourmusic.com/release/album/carla-bley-paul-haines/escalator-over-the-hill/,27.0
204,204,The Individualism of Gil Evans,https://rateyourmusic.com/release/album/gil-evans/the-individualism-of-gil-evans/,5.0
205,205,"Ella Fitzgerald Sings the Duke Ellington Song Book, Vol. 1",https://rateyourmusic.com/release/album/ella-fitzgerald-with-duke-ellington-and-his-orchestra/ella-fitzgerald-sings-the-duke-ellington-song-book-vol-1/,21.0
206,206,The Quest,https://rateyourmusic.com/release/album/mal-waldron-with-eric-dolphy-and-booker-ervin/the-quest/,7.0
207,207,Capra Black,https://rateyourmusic.com/release/album/billy-harper/capra-black-1/,5.0
208,208,Midnight Blue,https://rateyourmusic.com/release/album/kenny-burrell/midnight-blue/,6.0
209,209,...and His Mother Called Him Bill,https://rateyourmusic.com/release/album/duke-ellington-and-his-orchestra/_and-his-mother-called-him-bill/,12.0
210,210,The Dealer,https://rateyourmusic.com/release/album/chico-hamilton-introducing-larry-coryell/the-dealer/,7.0
211,211,Hanging Gardens,https://rateyourmusic.com/release/album/the-necks/hanging-gardens/,1.0
212,212,The All Seeing Eye,https://rateyourmusic.com/release/album/wayne-shorter/the-all-seeing-eye/,4.0
213,213,Concierto,https://rateyourmusic.com/release/album/jim-hall/concierto/,4.0
214,214,The Circle Maker,https://rateyourmusic.com/release/album/john-zorn/the-circle-maker/,31.0
215,215,Small Change,https://rateyourmusic.com/release/album/tom-waits/small-change/,11.0
216,216,Frank Sinatra Sings for Only the Lonely,https://rateyourmusic.com/release/album/frank-sinatra/frank-sinatra-sings-for-only-the-lonely/,12.0
217,217,Symphony for Improvisers,https://rateyourmusic.com/release/album/don-cherry/symphony-for-improvisers/,7.0
218,218,Undercurrent,https://rateyourmusic.com/release/album/bill-evans-jim-hall/undercurrent/,5.0
219,219,Lady Sings the Blues,https://rateyourmusic.com/release/album/billie-holiday/lady-sings-the-blues/,12.0
220,220,King of Kings,https://rateyourmusic.com/release/album/the-pyramids/king-of-kings-1/,4.0
221,221,The Freedom Book,https://rateyourmusic.com/release/album/booker-ervin/the-freedom-book/,5.0
222,222,Go,https://rateyourmusic.com/release/album/dexter-gordon/go/,6.0
223,223,Chapter One: Latin America,https://rateyourmusic.com/release/album/gato-barbieri/chapter-one-latin-america/,9.0
224,224,Thrust,https://rateyourmusic.com/release/album/herbie-hancock/thrust/,4.0
225,225,Liberation Music Orchestra,https://rateyourmusic.com/release/album/charlie-haden/liberation-music-orchestra/,8.0
226,226,Our Man in Paris,https://rateyourmusic.com/release/album/dexter-gordon/our-man-in-paris/,4.0
227,227,The Bridge,https://rateyourmusic.com/release/album/sonny-rollins/the-bridge/,6.0
228,228,For Musicians Only,https://rateyourmusic.com/release/album/stan-getz-dizzy-gillespie-sonny-stitt/for-musicians-only/,4.0
229,229,Songs for Distingué Lovers,https://rateyourmusic.com/release/album/billie-holiday/songs-for-distingue-lovers/,5.0
