,title,type,link
791,"Mary, Mary Lou / Picadilly Rock",Single,https://rateyourmusic.com/release/single/bill-haley-and-his-comets/mary-mary-lou-picadilly-rock/
792,Lean Jean / It's a Sin,Single,https://rateyourmusic.com/release/single/bill-haley-and-his-comets/lean-jean-its-a-sin/
793,Love You Till I Die / Rock the Bop,Single,https://rateyourmusic.com/release/single/little-brenda-lee-with-the-anita-kerr-singers/love-you-till-i-die-rock-the-bop/
794,I Wanna Know (Why You Love Me So) / Mardi Gras,Single,https://rateyourmusic.com/release/single/eddie_daniels_f1/i_wanna_know__why_you_love_me_so____mardi_gras/
795,Modern Romance / Travelin’ Man,Single,https://rateyourmusic.com/release/single/sanford-clark/modern-romance-travelin’-man/
796,Sweet Little Sixteen / Reelin and Rocking,Single,https://rateyourmusic.com/release/single/chuck-berry/sweet-little-sixteen-reelin-and-rocking/
797,Barefoot Rock / What Did I Do,Single,https://rateyourmusic.com/release/single/junior_parker/barefoot_rock___what_did_i_do/
798,Boogie Woogie Baby / Hill Billy Blues,Single,https://rateyourmusic.com/release/single/clear-waters-and-his-band/boogie-woogie-baby-hill-billy-blues/
799,Tropical Rock,EP,https://rateyourmusic.com/release/ep/the-goyos-cats/tropical-rock/
800,"I'm a Lover, Not a Fighter / Sugar Coated Love",Single,https://rateyourmusic.com/release/single/lazy-lester/im-a-lover-not-a-fighter-sugar-coated-love/
801,Blueberry Hill / Tutti Frutti,Single,https://rateyourmusic.com/release/single/adriano_celentano/blueberry_hill___tutti_frutti/
802,Ich brauch' keinen Ring / Lover Doll (Ohne dich),Single,https://rateyourmusic.com/release/single/ted-herold/ich-brauch-keinen-ring-lover-doll-ohne-dich/
803,Tinalie / Wer weiß warum...,Single,https://rateyourmusic.com/release/single/bert-suplie/tinalie-wer-weib-warum/
804,Whole Lotta Lovin',EP,https://rateyourmusic.com/release/ep/fats-domino/whole-lotta-lovin/
805,Big Guitar / Sentimental Dream,Single,https://rateyourmusic.com/release/single/owen-bradley/big-guitar-sentimental-dream/
806,Shombalor / Lonely One,Single,https://rateyourmusic.com/release/single/sheriff_and_the_ravels/shombalor___lonely_one/
807,Flying High,Album,https://rateyourmusic.com/release/album/cherry-wainer/flying-high/
808,"Happiness / Creepin', Crawlin', Cryin'",Single,https://rateyourmusic.com/release/single/billy-and-lillie/happiness-creepin-crawlin-cryin/
809,I Dig Rock and Roll / Let Me Miss You,Single,https://rateyourmusic.com/release/single/earl_wade/i_dig_rock_and_roll___let_me_miss_you/
810,Greasy Spoon / Hangin' on to You,Single,https://rateyourmusic.com/release/single/billy-and-lillie/greasy-spoon-hangin-on-to-you/
811,Leave Me Alone / Wild Party,Single,https://rateyourmusic.com/release/single/dicky_doo_and_the_donts/leave_me_alone___wild_party/
812,Lucky Ladybug / I Promise You,Single,https://rateyourmusic.com/release/single/billy-and-lillie/lucky-ladybug-i-promise-you/
813,Rockin' the Joint / Esquerita and the Voola,Single,https://rateyourmusic.com/release/single/esquerita/rockin-the-joint-esquerita-and-the-voola/
814,My Broken Heart / Momma Wanna Rock,Single,https://rateyourmusic.com/release/single/the-teenagers/my-broken-heart-momma-wanna-rock/
